"playerId"|"goals"|"assists"|"matches"|"penalties"
14101|15|10|96|3
2078|0|1|126|0
72|47|22|50|1
4483|145|207|179|25
11355|13|26|61|0
11562|2|3|127|1
1142|0|2|169|0
2197|2|2|9|0
7494|66|60|121|4
4941|4|5|11|0
15322|22|17|138|3
8703|90|52|116|6
10186|3|0|11|0
4997|67|25|169|6
2181|12|17|26|1
10346|3|9|27|0
8777|75|63|108|2
8280|3|4|18|1
12355|32|37|128|3
13031|6|3|17|1
4622|2|1|24|3
1094|457|394|240|32
5899|31|40|122|13
3760|281|266|216|38
15160|87|61|109|8
12755|65|82|96|16
1412|189|175|179|48
4620|19|21|69|6
1725|182|95|275|22
3593|62|110|174|27
6230|4|2|17|0
13111|13|26|95|10
12123|29|8|60|5
9743|122|156|132|11
7558|2|2|6|3
4728|70|39|114|10
12933|4|17|70|2
11366|0|1|92|1
3695|1|11|195|2
8963|7|11|92|5
6362|13|4|34|1
2907|9|1|17|1
11376|23|13|80|5
3746|41|41|85|14
9869|22|14|56|4
5977|84|64|188|31
9020|226|134|154|19
2734|47|45|60|13
5680|9|15|170|20
10082|235|144|231|20
10434|41|23|43|2
10693|41|50|179|72
2192|1|0|2|0
8844|24|23|76|7
11428|123|114|113|20
2029|101|112|95|6
8307|28|24|60|4
12499|6|6|166|1
14117|3|3|66|0
10603|113|154|176|42
13915|336|201|230|28
2232|43|24|49|0
8329|139|160|221|28
6285|52|46|97|8
8437|65|80|102|18
13045|15|10|43|11
1368|44|63|124|12
5712|123|68|120|14
4135|111|82|122|19
4130|77|115|172|14
3546|6|2|31|3
13805|130|50|91|6
15421|163|142|180|28
6688|90|56|82|2
2356|106|81|131|9
3998|140|141|154|24
2979|1|9|144|0
329|105|42|87|5
7621|24|16|32|5
7986|41|23|78|4
15176|70|48|38|8
13469|83|44|147|36
2655|63|71|149|16
3975|14|10|55|7
11598|22|18|54|5
2362|19|17|44|10
6499|84|70|159|20
3358|74|46|135|27
11626|5|15|94|1
8989|69|48|129|8
9360|232|174|200|23
15507|0|2|28|1
14894|2|1|15|0
6428|2|5|23|3
4553|1|0|4|0
656|113|64|185|71
951|0|4|111|0
12105|292|164|181|23
14698|116|43|54|3
786|8|4|22|0
13543|2|0|147|3
14949|136|83|116|11
7360|74|42|115|13
15728|74|48|102|15
9905|16|34|108|26
2510|15|13|55|9
5386|2|6|25|3
6212|1|7|219|4
13565|0|3|16|0
15393|20|7|25|4
11423|59|36|163|8
79|79|34|73|7
13344|53|43|173|19
9855|76|27|76|28
7155|100|112|151|17
4866|41|57|116|57
3345|33|50|83|22
3146|167|65|99|44
12612|26|26|111|52
14783|7|5|75|3
10608|151|119|202|16
4317|9|11|38|16
2517|152|80|155|11
11978|0|1|34|0
10368|0|1|31|2
7875|19|19|55|9
1115|80|39|149|26
11587|3|10|52|27
6180|223|145|101|22
11104|31|13|59|22
4926|29|41|168|16
14677|105|72|111|100
1947|0|1|22|2
8233|0|2|99|0
14161|10|7|20|6
5205|10|38|140|11
7539|10|12|23|1
9853|28|8|73|7
9635|67|33|68|28
843|0|1|102|1
1021|78|52|64|18
2132|7|3|46|6
6848|0|4|115|0
13842|145|75|154|21
3173|13|10|34|6
11648|53|37|59|8
8664|4|7|43|9
5595|185|125|161|58
2527|253|146|238|43
7761|55|62|152|14
12316|6|3|15|6
5912|36|24|73|6
545|15|41|136|49
14732|111|105|132|25
6175|31|42|117|17
1606|59|48|69|9
12343|0|1|102|1
1693|2|14|124|0
10729|8|11|41|5
902|59|41|68|15
1364|61|68|103|8
2534|8|10|63|19
4286|0|0|42|2
9924|23|29|141|19
10568|37|22|53|7
5756|42|24|41|4
3647|8|10|27|3
15231|22|8|30|1
8903|15|13|71|11
3712|12|7|61|3
13109|95|93|82|39
3667|16|14|44|11
13669|3|1|5|0
11871|5|8|39|6
4456|69|19|54|4
474|17|7|20|0
12087|59|72|52|11
15657|53|39|62|6
10909|0|0|28|1
5653|59|42|57|7
1553|79|41|102|12
7210|18|8|37|19
15560|39|27|129|12
4096|8|8|20|3
5710|27|17|37|2
12818|40|20|48|9
3042|135|77|82|3
2386|45|30|60|7
3392|5|5|11|1
1569|8|4|84|0
12262|11|2|38|5
6766|21|39|85|11
13567|12|17|6|1
11845|0|2|21|4
13755|17|11|108|4
12754|46|26|86|23
10166|72|62|143|50
7851|66|27|101|4
6571|37|12|74|1
12843|0|0|14|0
8552|83|85|113|42
12457|127|60|97|33
13664|24|13|46|10
10066|33|4|55|16
7507|109|73|129|30
11719|1|4|35|6
9459|14|7|35|6
4100|30|22|96|4
3887|125|91|104|16
6577|33|19|102|13
827|1|4|28|5
5603|1|2|8|1
2366|21|14|24|5
12720|3|3|49|2
5256|0|0|35|0
112|10|14|65|18
9818|1|1|4|0
4637|52|52|189|13
10842|64|46|111|9
8348|137|53|98|21
13404|5|4|19|1
14972|0|1|5|0
2636|61|23|89|24
6364|0|0|17|2
10667|3|19|41|3
11807|49|18|24|4
1712|0|3|9|0
12868|0|0|9|0
5128|44|29|84|10
648|155|97|244|15
8832|23|26|64|12
2651|0|6|106|1
3423|52|62|118|16
3492|6|6|34|6
12861|1|1|13|0
9329|17|9|30|3
9297|61|34|46|7
7919|0|0|10|0
14475|50|38|35|2
3767|14|2|9|0
11362|0|0|13|0
12735|10|23|42|5
7563|34|18|72|15
4846|100|68|110|16
3487|49|33|29|4
3244|4|1|10|0
2774|133|64|188|42
1713|10|15|85|6
6137|24|14|29|4
2047|39|18|102|13
7187|17|6|54|6
2538|0|1|31|2
9573|0|1|76|1
1903|12|7|54|6
13311|54|59|75|3
11121|20|4|32|2
4901|0|0|9|1
6453|94|69|107|3
1479|22|18|66|10
12256|44|66|114|3
7227|357|120|191|38
3891|82|121|193|23
11443|138|92|143|55
12062|6|8|9|1
11483|105|55|54|4
12126|1|1|25|1
13059|62|49|102|14
5498|48|59|111|16
13973|1|5|12|2
3404|32|6|47|3
10320|148|57|191|44
8384|7|11|36|1
6941|6|4|13|4
3284|6|1|19|2
1448|0|9|89|0
8976|10|26|93|13
5339|107|58|91|12
3949|50|57|97|15
9344|45|45|124|10
12640|31|10|49|6
8611|12|13|110|2
8902|38|25|76|13
10331|1|2|21|1
13583|92|43|50|1
15650|47|37|90|20
5495|14|32|52|6
15496|4|1|11|0
586|24|16|42|6
12120|34|47|108|11
13030|82|52|79|1
8941|148|68|129|12
478|252|118|231|40
7390|38|33|97|7
2166|15|6|28|0
4935|79|79|107|18
13035|0|2|11|0
10407|4|2|15|1
9786|19|5|30|10
984|11|3|33|8
11860|88|36|102|2
14275|1|1|43|0
2725|19|10|77|25
10100|23|23|63|19
4651|11|15|35|5
2070|37|37|42|3
15584|121|98|173|10
6063|111|96|137|33
4676|0|0|55|1
4639|22|18|37|6
8888|41|18|76|5
5943|80|41|91|13
9427|32|24|96|4
6947|136|63|157|14
12859|8|9|36|5
14731|117|65|106|49
2914|9|16|42|5
7777|45|110|169|20
7232|172|183|154|24
11778|4|9|66|11
15727|0|1|6|1
15279|34|37|57|8
11378|31|20|73|7
3967|35|25|62|9
819|0|3|148|0
3527|0|0|5|2
2876|40|34|88|6
11524|32|21|83|11
4216|129|43|94|18
2557|77|43|74|15
12063|67|35|105|16
6697|93|44|46|17
7035|3|5|25|0
15321|0|4|112|3
5320|74|58|106|15
6159|60|50|77|25
2353|95|62|98|35
12146|72|62|84|41
8982|21|4|45|2
6971|3|7|61|2
14419|0|0|3|0
11672|30|23|114|6
8478|8|7|42|2
8343|18|3|68|3
15774|21|36|107|19
15266|11|5|11|2
11079|492|435|230|36
1681|16|17|19|3
7500|160|135|174|20
13140|35|22|133|1
10971|165|79|101|13
7378|175|94|116|5
714|0|23|209|2
1684|52|28|74|0
10385|0|0|8|2
1716|138|90|101|11
1888|1|0|3|0
1935|165|170|161|21
6373|20|7|25|3
15536|19|13|67|2
11715|30|15|101|15
1532|0|0|1|0
7136|8|4|63|1
4577|1|2|29|4
1491|23|9|71|3
3107|7|8|32|2
12282|0|1|1|0
11531|2|2|12|2
11337|0|0|3|1
4229|16|8|39|5
529|148|120|141|34
10448|46|39|111|28
5988|2|1|20|2
5291|82|57|80|45
12581|61|51|85|25
14528|158|100|163|13
4488|11|8|29|1
15549|12|14|15|1
7065|11|6|5|0
3763|22|42|113|30
5146|1|0|3|0
568|43|25|34|7
8954|9|2|21|7
11852|18|4|18|5
3221|6|10|62|3
14592|52|38|88|19
5139|3|1|33|4
1081|38|47|95|5
13642|58|58|73|13
15542|19|17|34|6
6082|0|1|14|0
6752|5|9|73|8
13680|0|0|30|1
1997|8|10|45|7
11740|116|97|205|17
12879|82|60|142|9
4698|56|16|46|18
10625|95|84|155|86
13279|7|2|37|1
6410|235|143|180|14
14887|17|31|98|11
4268|166|132|166|46
6741|16|5|30|3
1612|21|23|35|4
14656|0|3|49|0
3426|69|88|99|57
8705|24|15|107|29
9189|15|13|50|1
6304|5|4|41|6
9128|63|48|90|21
115|0|1|13|5
3531|111|80|128|34
3959|35|23|109|34
3438|29|20|66|6
7105|54|13|86|3
613|10|10|39|7
13278|8|9|53|2
4586|109|64|82|51
10141|48|35|32|8
8183|28|25|92|6
10491|0|0|3|1
2623|237|176|106|5
1375|11|31|125|0
1524|12|9|82|5
4006|53|10|50|3
10758|2|9|68|8
5488|24|23|92|3
6605|39|21|70|1
11794|8|5|29|4
10953|44|45|105|30
512|397|194|164|34
14404|159|98|232|12
7196|0|2|161|0
3352|181|93|157|73
6233|0|0|10|0
6263|3|2|9|4
10657|34|22|61|6
8695|1|3|23|1
4919|23|26|113|7
5220|116|81|140|17
1178|13|1|19|14
13851|35|41|56|16
10077|9|4|24|0
1896|6|6|31|3
1265|7|12|69|10
10961|0|0|13|0
13900|107|99|151|15
15312|57|48|119|23
4481|4|4|12|1
4226|29|11|54|13
12731|0|0|49|0
2665|20|3|32|10
1829|46|31|191|100
14721|126|121|134|12
2903|64|60|70|4
11287|236|136|151|36
14805|336|217|196|71
10163|151|74|132|10
6994|12|20|60|5
6659|297|386|159|35
15095|0|0|6|0
1163|44|42|121|28
11236|75|65|149|20
7293|132|77|213|18
473|11|7|13|5
13258|190|143|156|26
15273|0|4|192|3
166|1|3|145|1
15779|2|2|25|5
4881|77|48|82|54
3075|0|2|15|0
13763|13|11|55|6
2400|13|10|38|4
9449|7|8|10|3
13143|10|5|34|4
12559|74|50|77|4
10119|9|11|37|5
12487|31|15|96|14
7333|149|109|122|8
3639|31|24|70|5
12839|146|113|107|4
4143|25|5|40|5
11150|0|6|74|0
4516|3|8|24|4
8093|18|4|36|7
2453|0|0|3|0
15396|70|44|71|10
10360|74|41|177|4
8518|90|108|122|25
12308|36|24|77|1
4695|111|49|91|16
4259|292|170|201|81
6661|3|4|36|2
15054|4|12|12|6
13439|2|2|23|3
2265|4|3|21|2
2883|3|3|23|4
10913|1|0|9|1
11323|45|23|28|1
899|7|10|41|6
9873|7|6|9|0
3420|7|12|49|4
13449|1|0|3|2
6457|13|8|32|5
3618|0|0|6|0
5607|0|0|21|0
6934|0|0|9|0
14058|0|0|7|0
10597|2|1|13|1
3427|76|42|111|4
2234|13|4|26|0
2205|4|1|20|0
1965|8|5|37|1
12128|2|0|11|1
7618|0|0|7|1
4592|1|1|15|0
13468|42|41|108|4
14569|24|28|103|1
13783|5|10|40|0
14615|14|12|16|0
14265|55|38|84|3
11693|0|1|44|0
4826|13|14|52|0
13620|6|0|8|2
3466|4|4|10|0
2304|247|81|146|6
14358|0|0|1|0
9708|13|16|65|3
11252|9|8|43|8
3704|143|31|162|5
569|25|13|24|3
8933|12|9|56|1
2100|98|54|110|2
2334|0|7|143|1
4685|9|4|16|1
7698|141|67|130|11
11833|19|11|56|1
15695|14|8|29|0
12166|37|29|72|0
15437|0|5|86|0
15097|9|11|194|1
9276|42|63|162|12
4350|104|51|190|13
9574|3|7|211|0
2411|194|156|213|12
11535|15|10|52|1
3854|38|24|42|1
791|19|19|47|1
9658|39|30|49|1
7219|174|130|149|4
15454|22|13|83|2
3295|158|153|252|3
15339|7|14|54|0
14329|0|1|25|1
11201|10|3|37|2
10498|23|40|163|12
1616|5|3|66|2
3243|37|25|114|4
1357|23|7|92|9
5884|19|1|57|0
7366|47|40|64|6
15763|35|28|116|3
10840|111|56|150|10
10286|169|128|145|5
3463|10|9|24|1
14133|10|8|28|0
1905|0|0|8|1
2318|0|0|6|0
12365|21|10|77|5
3341|0|0|29|1
12311|39|31|109|3
3951|26|14|84|7
9382|4|0|13|0
8662|102|64|120|18
12816|26|30|99|6
9846|236|89|170|8
9441|24|13|46|2
4413|187|117|170|28
9292|24|12|20|1
8542|18|8|29|8
10310|48|45|191|33
7599|65|40|121|8
4193|13|3|30|2
3045|0|2|47|2
11419|2|1|26|1
1244|19|15|106|16
5214|100|63|198|32
2851|62|40|148|10
14549|211|151|298|23
1741|76|29|92|4
259|228|103|141|8
10387|493|262|242|31
12210|0|5|109|0
6492|0|10|151|1
14557|257|123|206|34
13923|3|1|30|1
12689|41|17|113|10
10072|30|26|112|5
6694|0|1|5|0
5329|1|0|5|1
12595|1|1|5|1
9092|0|0|3|2
2796|1|0|7|0
13443|5|10|35|6
3722|2|0|5|0
13509|2|0|5|0
7320|2|2|7|0
8388|1|0|7|1
1537|1|0|7|0
7694|2|0|7|0
5631|3|2|5|0
10620|0|0|7|0
7541|4|6|27|2
14588|48|33|48|14
12697|93|31|150|21
12035|137|78|71|4
1137|54|33|92|25
15354|291|238|158|20
9019|417|239|155|31
4856|44|16|33|5
10443|48|30|54|2
13737|6|14|43|6
12208|139|41|63|15
1868|27|35|43|0
6162|14|41|182|1
4476|0|0|17|0
9316|12|23|101|9
6409|0|1|41|1
12618|316|225|201|8
3752|45|33|77|28
7302|51|72|288|0
8620|92|75|197|6
2137|56|47|156|7
9479|51|32|71|11
4809|150|107|130|25
2051|206|154|205|42
6825|10|13|53|1
3620|15|4|21|1
6079|0|0|3|0
7512|1|1|19|0
14861|15|15|20|2
11893|60|35|72|1
374|15|13|30|1
10616|0|0|16|0
1104|314|202|242|33
12717|4|14|31|0
354|184|249|228|17
2215|63|59|158|10
2579|3|1|20|4
11407|12|4|25|2
2882|7|7|26|1
12995|73|43|83|22
2945|0|4|21|0
7911|0|0|14|1
12960|0|2|17|0
9615|16|3|37|6
13563|1|2|199|1
14889|14|10|84|0
5905|15|11|51|2
7005|40|23|148|1
7173|65|88|187|7
8091|55|22|60|0
15223|185|94|162|6
12455|0|12|99|0
212|10|2|49|1
15088|6|4|34|1
12059|69|26|77|3
3862|3|1|16|0
2957|4|1|14|0
4228|43|25|171|14
9625|56|41|132|2
9041|141|77|176|5
4188|0|0|73|0
12946|1|8|136|0
2710|133|68|162|13
8838|60|44|165|8
10500|90|52|110|2
695|47|27|137|7
14054|169|97|193|7
13811|50|45|92|4
14890|76|34|135|3
12300|214|86|173|9
8697|0|1|10|0
334|2|8|209|0
5513|316|190|291|13
4140|147|126|186|22
4059|273|119|267|16
11654|182|168|260|33
14905|345|189|263|16
10440|137|77|200|13
14008|113|75|113|13
1057|71|64|197|8
15315|363|186|225|6
7733|1|2|126|0
11984|3|1|15|0
3171|87|20|156|12
1027|16|7|42|1
7038|139|54|161|14
13372|18|8|119|1
14213|115|35|211|5
10158|28|9|104|6
7321|31|24|61|1
1174|9|9|53|1
9508|46|17|143|15
14599|11|7|36|1
1503|8|14|37|1
12460|57|24|82|0
15776|108|57|139|4
10983|2|8|161|0
14760|268|174|215|27
14302|21|6|64|2
14837|146|81|185|4
12690|117|42|150|2
10531|13|21|73|1
4230|0|1|69|0
13566|13|5|114|1
6229|4|2|14|1
9059|97|46|66|1
9255|190|87|234|11
10482|0|1|22|0
13227|157|74|159|29
14224|80|31|112|9
6517|0|0|8|0
579|179|150|174|24
4091|6|10|48|2
14286|100|93|154|12
7458|0|0|11|0
11567|113|33|119|20
5913|218|79|132|5
2260|36|32|140|14
4689|6|3|59|5
3498|31|27|62|2
900|14|18|163|0
8770|15|11|21|0
2372|38|22|34|0
9937|234|80|192|5
14796|133|67|189|16
6255|23|10|44|0
15351|99|58|118|8
9826|64|39|139|3
10378|63|53|170|11
11408|96|60|175|10
1124|0|9|158|1
15235|239|141|171|3
8130|171|61|228|16
2149|100|46|82|9
7917|78|74|144|9
1042|292|109|185|20
839|202|136|171|9
11795|146|138|237|33
9405|47|53|57|3
2620|0|1|46|0
3192|100|59|161|14
11824|272|163|182|10
9995|31|17|34|1
8702|531|326|249|14
1642|138|82|114|6
14473|74|108|218|6
14774|24|15|36|1
7991|279|176|258|20
10670|236|106|197|15
10299|42|45|195|13
5398|129|136|253|24
8475|147|68|89|9
654|5|12|135|0
15076|0|4|120|0
10165|2|0|10|0
1023|3|2|8|1
15178|10|3|17|0
4569|14|10|50|1
14053|101|39|107|2
10713|27|10|48|2
1102|137|90|157|48
9745|29|21|37|0
3380|107|65|152|17
11465|3|12|48|4
660|8|5|35|1
4069|33|44|81|5
567|129|59|165|10
3922|173|71|166|10
2956|170|120|224|21
731|180|207|273|11
12143|63|65|128|4
6888|127|62|109|4
13080|1|6|35|1
15314|87|74|149|10
1915|11|18|163|3
11251|639|293|240|12
2721|26|26|75|2
13368|235|146|220|8
12207|137|53|127|3
5784|8|6|40|0
6496|0|3|103|3
13733|177|83|103|2
4436|311|159|210|11
12826|36|36|97|1
14147|44|27|71|7
333|0|7|59|0
6084|8|3|12|0
6872|98|82|204|12
3065|221|82|187|8
1674|2|3|13|0
8014|3|4|30|0
4120|4|3|15|0
14502|20|19|35|1
7354|12|7|16|0
6041|3|2|15|0
15349|12|8|27|1
9073|99|57|113|7
12192|257|98|113|7
8265|0|6|61|0
10305|2|2|50|3
15633|0|0|13|0
15140|2|1|29|1
10183|42|22|102|5
10786|56|35|57|2
9357|85|60|69|3
11637|466|362|248|26
13477|445|353|269|43
4257|165|97|211|7
10973|361|299|232|50
8070|78|39|61|2
285|59|54|111|4
253|37|24|70|8
2340|51|58|267|3
1066|36|17|93|14
2175|60|26|47|6
13890|15|14|28|0
6039|97|47|201|25
13148|23|16|46|4
2355|5|15|58|8
8767|15|6|13|0
3623|6|3|56|1
14818|10|1|16|3
13864|122|39|153|3
10669|11|3|55|2
15439|15|10|61|0
1397|27|31|160|22
9707|1|1|209|0
4321|189|92|186|18
9416|291|108|221|43
441|64|19|33|2
11281|6|9|29|0
1485|0|0|104|3
8700|166|187|158|42
12778|53|20|42|7
15072|24|26|63|2
13970|36|27|25|2
4983|45|31|51|8
4484|33|45|111|4
9988|191|110|209|24
9741|157|102|139|10
8575|65|42|129|12
15756|1|1|16|1
6925|2|0|9|1
1928|0|0|30|0
7920|2|1|20|0
9082|0|1|94|0
5578|122|105|278|12
8264|13|12|26|1
4808|44|21|43|2
4605|4|4|13|2
5512|51|38|171|11
2767|0|1|85|1
12626|2|7|160|2
7134|81|43|89|1
9302|9|4|48|1
6519|14|11|54|8
2451|15|14|56|0
11324|44|36|106|38
14921|85|77|108|6
2788|49|68|142|21
11164|226|91|164|47
8623|2|0|11|0
15597|4|2|7|0
14973|158|105|121|51
7272|263|203|180|54
5068|5|7|20|0
6126|5|3|15|0
10445|26|19|26|2
14647|0|13|47|0
14067|311|208|226|45
13933|202|126|179|12
10024|6|2|10|0
9990|8|5|17|0
13530|54|40|54|5
9337|386|145|201|12
4240|194|146|180|41
15780|5|23|323|4
4965|79|20|104|1
1056|43|14|136|5
3181|72|45|175|2
6002|113|94|186|5
5735|140|82|184|39
7430|530|475|212|83
13124|424|256|216|34
10484|21|11|106|1
8588|0|1|74|0
15631|61|39|199|2
6964|231|189|276|66
281|8|4|20|1
3622|18|12|29|0
2404|219|129|274|31
13937|19|10|15|0
717|67|59|180|8
13959|26|43|98|2
2526|10|21|60|2
1258|96|63|113|6
11126|13|11|53|3
6014|5|9|23|3
14504|106|54|68|15
15404|108|75|183|16
2281|156|79|218|9
1961|2|5|160|0
1415|2|2|194|4
15751|6|8|22|1
6276|28|23|19|0
6358|31|22|56|1
9341|31|21|24|4
7992|71|58|247|19
14918|185|101|185|23
3113|84|60|62|5
4734|77|38|94|6
8338|180|90|208|4
10088|199|139|234|43
4699|43|19|22|4
7389|0|3|194|2
6864|36|30|76|3
3971|26|13|74|4
15795|280|207|223|27
11162|123|66|121|5
997|91|69|223|41
7564|114|69|152|18
15148|20|9|30|4
3061|17|16|56|2
4105|37|20|71|3
3656|61|47|143|7
5216|1|8|213|1
14100|19|18|41|1
7555|3|4|29|1
2613|9|5|29|2
6493|24|8|38|3
8949|29|17|27|0
15588|25|19|39|0
15328|5|3|23|1
12222|150|76|140|11
8509|214|76|177|46
4990|14|3|28|1
6155|29|22|56|2
6047|25|22|101|4
2981|51|42|102|12
14464|1|12|165|5
8631|78|37|44|2
337|67|25|40|3
14644|2|0|10|1
3044|1|1|8|0
6674|0|0|8|1
2061|2|3|9|0
9095|2|1|25|0
670|20|35|55|8
11812|64|42|180|19
13040|30|52|126|31
9108|8|7|25|4
2614|22|31|97|9
2014|20|15|84|1
101|287|201|189|29
606|8|15|40|1
12188|17|7|31|3
9673|192|55|104|16
6715|0|1|10|0
10945|3|10|119|5
3697|26|25|125|27
434|39|34|68|1
14388|70|60|48|1
4967|50|69|132|15
12837|45|14|52|1
2569|117|84|167|15
15291|9|6|20|1
12399|0|1|41|0
15573|65|86|84|12
5253|0|3|42|0
9438|31|31|63|10
10715|318|90|203|16
6718|6|8|29|0
8967|48|24|44|1
1122|40|11|42|3
622|17|14|53|8
1401|12|3|13|1
4383|235|198|222|35
12638|51|58|174|27
8096|4|3|85|1
2813|344|174|262|22
4811|479|366|222|41
15424|18|17|32|6
1932|8|8|39|5
11876|187|95|210|7
7198|31|5|71|2
5842|146|91|183|29
9446|39|31|36|1
9065|69|46|60|1
14064|63|31|97|8
14666|85|88|124|15
8861|0|14|192|0
4346|2|7|42|0
6482|26|31|64|12
3629|265|224|203|8
15294|113|97|149|35
15599|22|16|110|9
13164|0|1|14|0
763|0|2|34|0
7945|29|16|31|1
12857|14|13|23|1
11615|19|15|25|0
6987|53|34|73|0
8301|114|53|87|6
1376|24|37|41|2
2011|0|0|13|0
10799|27|46|102|14
8543|5|6|46|0
15663|24|11|52|1
7004|39|19|34|4
13210|20|13|57|7
3990|201|132|151|30
14296|56|64|121|3
1718|68|49|126|45
14429|43|23|129|12
1633|39|21|70|4
6643|32|21|51|4
13673|15|15|59|3
2959|0|9|104|1
4904|216|147|157|28
10408|56|34|29|12
1428|230|145|86|44
1444|93|70|105|3
4414|183|83|122|12
1787|193|90|132|16
5464|187|120|104|22
8231|110|102|114|19
5160|0|2|42|0
13063|18|31|48|5
9350|44|25|91|11
13570|18|40|107|9
5835|17|2|12|1
10325|4|6|14|0
2263|0|1|15|0
1426|3|1|8|0
13423|2|2|22|4
7644|37|33|124|18
2696|0|0|3|1
5130|4|5|10|1
14338|105|46|114|3
275|75|54|99|20
7427|247|111|116|24
3681|11|27|45|5
7605|249|193|166|9
15064|0|1|18|0
2324|6|12|33|1
4650|18|12|26|2
4580|33|15|47|4
4559|5|7|41|2
2431|96|78|47|5
1745|30|18|75|0
1836|23|12|38|2
2974|0|0|2|0
3654|36|50|127|24
8922|0|0|3|1
142|52|32|100|7
3634|28|30|52|4
12784|30|18|72|11
6515|145|131|179|23
12214|61|38|98|12
12424|2|1|18|0
14436|3|6|29|3
13730|207|96|111|6
3436|0|0|1|0
3702|0|5|57|0
7752|45|16|32|1
10127|1|1|22|0
10012|27|16|25|2
13986|0|3|11|0
12782|186|92|186|33
7453|8|9|44|3
4246|50|20|30|3
9566|30|28|81|25
7879|6|14|18|2
5995|24|10|23|5
5344|1|5|13|0
13137|46|31|30|14
13814|0|2|17|0
6272|27|31|48|17
12345|37|30|28|4
13193|154|70|69|19
214|0|1|5|0
2798|20|17|53|12
